user_id,item_id,predict_score
1457,1245,4.114070526925293
2360,3439,2.0394199180171357
5454,3498,4.102120421849734
3269,527,4.555164748271308
294,1101,2.8664789421527455
2230,1120,2.896409223002423
3607,849,2.4699795657109416
3761,593,4.911672680138001
5275,628,4.1825461389230885
1000,1304,4.387624568204128
2254,2944,4.2736046624430895
5980,903,4.145450432642355
1383,1079,3.744316747016554
813,3897,3.9390450339322
5580,3505,4.416514946080103
2899,555,4.212201626039098
4546,3506,3.7119939810653566
1317,2139,4.072007695651496
123,3088,3.803468899947765
4342,1285,4.634926303226694
1680,571,4.141763948607807
2378,445,2.749869136109255
3768,3633,3.4155085236820613
777,1591,2.1421908822627866
5569,1541,3.108108648635914
3187,608,4.750533010375842
949,3793,3.987298680406784
4388,1918,4.033429121248056
2316,1271,4.119617545858093
3945,539,4.2799012638668605
4161,3835,1.2869529312507746
3191,2126,2.582934276933067
4732,1974,3.219922315838523
1342,1355,2.9189881938521136
970,2312,3.3108048819503204
698,198,3.574307777953526
1181,2044,2.143308242415164
2955,3408,3.7439838895745234
4269,1320,3.267624488841989
935,1233,4.255584378812717
3868,31,3.169767067812532
5163,1374,4.468779638344197
1379,3457,2.598356200417562
911,588,3.9300171528719416
1705,2315,2.870640719122219
1183,2662,3.8537174107010355
1980,2739,4.520937444006644
5964,1310,4.181638834197095
3513,2706,3.3469791121008114
5015,3037,3.9349562116842707
5521,3052,4.0505936937357685
1524,3753,4.263234086543503
4980,1073,3.3203316355446013
1850,1097,4.069210833720094
352,1488,2.719426889435662
2106,2169,1.2706792781686258
5090,589,4.404594291758646
5594,1131,4.279119693541774
1928,1580,3.9823805160215757
3259,2997,4.424359455823625
3676,198,3.0898235336817317
4354,2193,2.624210623436511
3494,1093,3.5463146119454043
516,329,2.9413717610118777
2305,471,2.993239693255812
528,46,3.4284445106746344
3936,150,4.411627165593808
2805,2366,3.3318612198561124
623,1894,2.837780587233273
1875,2919,3.704556508097769
3085,1198,5.0
123,3244,3.2349381842150984
1941,2779,3.5993963373283777
4058,1704,4.4242621382953
2576,1372,3.03131197090545
2168,1265,3.7282803564697256
3175,678,4.234896212118007
3888,1210,3.2550102406835846
2105,1619,2.8486789118984612
2846,2671,3.092152961863954
5139,3360,4.042119541576929
639,1009,3.395586175193786
1404,3506,2.571018349366381
939,1258,4.18355975789446
3309,50,4.5404454547701825
4710,495,3.2357440570920475
524,1438,2.353237071930425
5113,2406,1.8743349998314769
5570,1049,3.263816058402753
4790,376,2.683330865505288
3311,532,2.407752399919848
3340,3791,3.8268729391604515
2290,380,3.5461783871019303
5812,2007,2.9179696428751027
424,2664,4.537304234231262
204,1370,3.9110901776974476
2649,1375,3.5055813437422403
1451,350,3.7712761649882025
1980,499,2.9360869832552074
2777,2792,3.864348591433081
5479,1197,4.339495775266802
4033,2389,2.8059234294957305
4425,117,3.094514950815538
4765,1225,4.712853531690197
1160,2826,2.9036575180513813
1440,2915,2.524860542462261
1726,1654,1.8062571721908314
4979,376,2.548914605605831
5111,1406,3.591161678399073
4556,575,3.5333101614178366
5327,1544,3.023769418903611
3018,110,3.794606617911599
3626,2054,3.818095974774172
4517,2692,4.128302734822061
4790,3160,4.118573991420318
2098,350,2.542494238564828
1722,3930,4.58389410847044
4268,898,4.000853030393175
4531,3421,3.652969263858196
5627,2469,2.5292469914484244
5605,2301,2.85267540603111
929,112,3.396696125067796
533,3005,2.81692120406014
5878,182,2.867430387834044
36,1597,3.8835456631246688
5978,1954,3.225087539396979
4524,2142,2.9764723644875453
5691,1377,3.443965278346312
3940,1131,4.60096954698333
4652,2908,4.080071880007651
2753,3330,3.5852909535733657
3940,1147,4.412393888287724
1449,3706,3.5926655677300134
802,360,2.8608585756152483
1611,3543,4.082277932841283
1924,838,3.6552177571466418
3761,1136,4.814231317294578
1181,3134,3.598315413393678
1870,2567,3.3560780732721676
3361,2115,3.734190121572694
4824,2791,3.577206569636391
3029,910,4.7128110827071374
4030,1387,4.00565666841411
48,2059,3.0995048078270466
2796,529,3.284543772128419
4748,1586,3.8412316234893593
5869,318,4.513660116843116
588,3814,4.115436755161292
1776,3893,3.461750058871919
518,1265,4.373420983179745
1344,954,4.100845572105229
5593,1961,4.112031471695518
4425,1096,3.4990493603149906
1475,1213,4.378717573373801
1182,233,3.5443542096249505
2002,3451,4.154505330358193
3612,223,3.664449281713733
413,3147,4.691825417726901
1033,2951,3.8570411149607153
4785,480,3.6916365519863183
2041,2094,3.244495937668615
3902,434,4.826580919625939
4028,3176,4.581220423088197
3958,317,3.96803812608737
5755,515,3.8407611071151324
4593,3418,3.382586320416086
3675,2671,3.2547467506172447
374,3479,4.009435022051003
3958,1183,3.0457173385631244
4042,3167,3.180682141859579
3292,1294,4.674396945848949
3793,344,2.989868202575779
4287,185,3.74203374460233
702,3361,3.460749656674821
1925,2083,2.8491143361585944
5567,1270,3.635284492016538
1542,2054,3.4086643581937413
4239,1965,3.9858815013384845
3770,2021,3.612730549578587
1128,1252,4.2720372363370895
2909,3272,3.5736629973929337
5550,3258,2.891404063011723
4447,1395,3.207011674075633
5705,1136,4.3467092138863155
5506,3479,3.754980982346447
3384,1221,4.343303197303366
19,1277,3.7845461330583414
2872,357,4.1354542459095605
